Project_ID,Length_km,Voltage_kV,Terrain,Estimated_Cost,Actual_Cost,Planned_Duration,Actual_Duration,Weather_Risk,Contractor_Experience,Material_Cost_Index,Labor_Availability
P01171,84,132,Forest,22058400.0,32084289.97,22,31,High,12,1.01,85
P01172,330,400,Plain,249480000.0,256118983.64,20,20,Medium,8,1.26,72
P01173,198,220,Plain,89397000.0,104801157.65,11,12,Medium,3,1.29,65
P01174,185,400,Desert,139194000.0,170850712.83,26,31,High,18,1.14,67
P01175,266,765,Forest,395249400.0,538766789.34,12,16,Low,16,1.27,70
P01176,37,400,Forest,40404000.0,46417661.39,10,11,High,10,1.4,81
P01177,116,132,Desert,32155200.0,33864874.67,16,16,High,9,1.26,75
P01178,181,765,Hilly,267807600.0,278947005.29,28,29,Low,15,1.37,87
P01179,306,132,Desert,100306800.0,133789099.32,17,22,High,16,1.49,87
P01180,279,132,Plain,79236000.0,107338834.29,19,25,Medium,15,1.42,69
P01181,241,765,Desert,331640100.0,449395037.75,18,24,High,3,1.39,78
P01182,136,765,Plain,141984000.0,140069174.56,28,27,Low,12,1.16,72
P01183,198,132,Forest,51994800.0,66403468.83,18,22,High,15,1.01,95
P01184,106,400,Desert,90248400.0,92400661.19,29,29,Low,11,1.29,89
P01185,298,132,Forest,114670400.0,168608804.97,25,36,High,13,1.48,66
P01186,202,220,Plain,76356000.0,94062680.35,27,33,Medium,3,1.08,91
P01187,108,765,Desert,117612000.0,135181919.63,18,20,Medium,13,1.1,84
P01188,155,400,Desert,146289000.0,161556348.79,10,11,Low,18,1.43,81
P01189,326,400,Desert,296920800.0,332846817.74,15,16,Low,4,1.38,81
P01190,289,765,Hilly,362059200.0,460339519.8,14,17,Low,14,1.16,59
P01191,268,400,Hilly,243129600.0,359330821.84,8,11,Medium,7,1.26,72
P01192,308,220,Desert,119765800.0,148812627.28,12,14,Medium,10,1.01,74
P01193,143,132,Plain,33748000.0,45654462.61,27,36,High,16,1.18,65
P01194,334,765,Hilly,440078400.0,555960353.26,25,31,Medium,18,1.22,79
P01195,130,400,Desert,119262000.0,124008280.78,8,8,Low,8,1.39,93
P01196,189,220,Desert,92411550.0,115044420.8,16,19,Medium,14,1.27,68
P01197,279,765,Plain,346518000.0,385805639.32,16,17,High,10,1.38,93
P01198,305,220,Plain,125965000.0,134928387.19,8,8,Low,14,1.18,75
P01199,40,220,Forest,23842000.0,37971009.07,22,35,High,5,1.31,84
P01200,53,765,Desert,76081500.0,105720812.96,22,30,High,11,1.45,66
P01201,144,220,Desert,57657600.0,80968789.33,27,37,High,8,1.04,70
P01202,185,220,Hilly,83139000.0,114680847.97,25,34,Medium,9,1.07,73
P01203,91,220,Plain,35035000.0,40756998.61,8,9,Low,10,1.1,89
P01204,175,220,Desert,77481250.0,79952677.75,24,24,Low,3,1.15,81
P01205,121,400,Desert,116595600.0,152868185.29,12,15,Low,5,1.46,68
P01206,253,765,Hilly,344282400.0,448704602.24,26,33,Low,7,1.26,87
P01207,122,765,Plain,160308000.0,194354891.4,30,36,Medium,14,1.46,84
P01208,281,220,Forest,145754700.0,186174961.57,23,29,Medium,16,1.14,69
P01209,48,132,Desert,12672000.0,17843989.49,25,35,Medium,10,1.2,68
P01210,48,220,Forest,29484000.0,38539041.22,9,11,High,10,1.35,92
P01211,252,400,Desert,202910400.0,198001074.03,18,17,Medium,11,1.22,87
P01212,288,220,Desert,141926400.0,190047172.56,10,13,High,11,1.28,88
P01213,317,765,Desert,461330100.0,506205477.27,24,26,Medium,13,1.47,73
P01214,332,400,Desert,234458400.0,307102203.7,9,11,High,13,1.07,75
P01215,161,765,Plain,213003000.0,217598860.15,19,19,Low,7,1.47,73
P01216,181,765,Desert,223987500.0,265285242.2,19,22,Medium,16,1.25,88
P01217,325,765,Desert,344272500.0,406296150.99,29,34,High,6,1.07,74
P01218,343,220,Plain,121250500.0,163678605.31,15,20,Medium,6,1.01,69
P01219,155,220,Desert,73997000.0,106459345.83,28,40,High,11,1.24,72
P01220,53,220,Plain,26155500.0,37245918.74,21,29,High,14,1.41,94
P01221,159,132,Forest,46714200.0,56193030.08,27,32,Medium,15,1.13,78
P01222,32,400,Forest,25958400.0,39630277.13,8,12,Medium,3,1.04,69
P01223,75,220,Hilly,45045000.0,67061091.93,9,13,High,9,1.43,61
P01224,221,132,Plain,53924000.0,70819966.21,18,23,Medium,11,1.22,71
P01225,137,132,Desert,38880600.0,66286172.7,27,46,High,6,1.29,69
P01226,305,220,Desert,162046500.0,222434239.04,8,10,Medium,6,1.38,60
P01227,142,132,Desert,37800400.0,47862629.4,30,37,High,13,1.21,79
P01228,69,400,Plain,56304000.0,66498465.66,15,17,Low,15,1.36,95
P01229,221,220,Hilly,122522400.0,120154846.19,8,7,Low,9,1.32,91
P01230,244,400,Plain,178608000.0,232452671.72,26,33,High,8,1.22,93
P01231,298,400,Plain,241380000.0,286861181.14,29,34,Medium,18,1.35,61
P01232,154,765,Forest,219819600.0,263296176.69,21,25,Medium,8,1.22,61
P01233,196,400,Desert,194040000.0,205003335.17,24,25,Low,6,1.5,73
P01234,49,400,Desert,46893000.0,60872564.69,18,23,High,8,1.45,76
P01235,127,765,Desert,153390600.0,158984915.08,17,17,Low,16,1.22,76
P01236,75,132,Desert,23925000.0,35989916.96,22,33,High,9,1.45,64
P01237,209,400,Plain,175560000.0,225976233.08,13,16,Medium,14,1.4,80
P01238,160,765,Plain,148320000.0,212710887.87,20,28,Medium,9,1.03,55
P01239,93,220,Desert,42966000.0,44823429.02,21,21,Low,7,1.2,55
P01240,200,220,Forest,97370000.0,143364722.54,21,30,Medium,15,1.07,60
P01241,229,400,Plain,199230000.0,216963307.66,25,27,Medium,7,1.45,91
P01242,345,220,Desert,199237500.0,270478255.05,17,23,High,9,1.5,70
P01243,74,220,Hilly,41336400.0,56165118.66,21,28,High,4,1.33,95
P01244,66,765,Plain,70686000.0,71342902.71,16,16,Low,7,1.19,95
P01245,294,765,Plain,367794000.0,371350870.89,18,18,Low,13,1.39,88
P01246,201,132,Desert,60581400.0,76606324.91,8,10,High,15,1.37,73
P01247,76,400,Desert,66712800.0,94442469.54,19,26,High,18,1.33,55
P01248,221,220,Forest,132732600.0,187436593.75,16,22,Low,4,1.32,70
P01249,68,132,Hilly,23664000.0,25562112.7,19,20,Medium,12,1.45,73
P01250,102,220,Desert,48694800.0,56778744.33,17,19,High,12,1.24,91
P01251,156,765,Hilly,192067200.0,229867817.18,8,9,Medium,14,1.14,94
P01252,226,765,Hilly,290455200.0,390243277.35,17,22,High,11,1.19,80
P01253,319,400,Plain,241164000.0,221495146.0,22,20,Low,9,1.26,87
P01254,342,220,Hilly,173804400.0,253492375.13,26,37,Low,12,1.21,61
P01255,267,765,Desert,348915600.0,504685912.99,26,37,High,9,1.32,66
P01256,87,132,Plain,22968000.0,28082901.47,25,30,Low,17,1.32,69
P01257,235,400,Desert,221793000.0,226950492.79,11,11,Low,14,1.43,68
P01258,107,765,Plain,109782000.0,130920565.78,28,33,Low,5,1.14,71
P01259,196,220,Hilly,101253600.0,156862648.9,24,37,Low,5,1.23,95
P01260,185,132,Plain,47360000.0,61524017.23,23,29,Medium,12,1.28,89
P01261,136,220,Hilly,61689600.0,61507388.75,20,19,Low,18,1.08,72
P01262,291,132,Hilly,85903200.0,144402183.87,25,42,High,3,1.23,78
P01263,225,765,Desert,314077500.0,375294543.53,11,13,Low,5,1.41,67
P01264,298,220,Desert,129644900.0,170596377.57,24,31,Low,4,1.13,82
P01265,42,765,Hilly,52164000.0,68609055.68,20,26,Medium,15,1.15,56
P01266,40,765,Hilly,61776000.0,71836361.03,10,11,High,17,1.43,92
P01267,296,400,Forest,256276800.0,317275898.74,10,12,Low,12,1.11,74
P01268,256,220,Desert,128128000.0,150886916.67,14,16,High,10,1.3,91
P01269,138,765,Plain,139104000.0,136326536.51,20,19,Low,14,1.12,63
P01270,85,220,Hilly,45696000.0,55838263.53,18,21,Low,8,1.28,67
P01271,288,400,Forest,305510400.0,474392974.82,21,32,High,13,1.36,56
P01272,48,220,Hilly,20764800.0,29654714.01,24,34,High,7,1.03,93
P01273,160,765,Forest,192816000.0,224287909.46,19,22,Medium,9,1.03,88
P01274,248,220,Desert,95480000.0,126019959.53,15,19,High,6,1.0,70
P01275,320,765,Hilly,445824000.0,647356529.77,18,26,Medium,13,1.29,94
P01276,265,132,Hilly,83316000.0,108854885.57,10,13,Low,15,1.31,55
P01277,252,132,Plain,61488000.0,61705705.22,19,19,Low,16,1.22,65
P01278,178,765,Desert,239659200.0,240628870.23,8,8,Low,14,1.36,94
P01279,166,220,Forest,92901900.0,121504631.2,10,13,Low,17,1.23,81
P01280,145,400,Forest,139113000.0,178081044.68,30,38,Low,17,1.23,84
P01281,202,400,Desert,167983200.0,194254102.73,19,21,Medium,13,1.26,62
P01282,89,132,Forest,32396000.0,45778865.81,17,24,Medium,16,1.4,85
P01283,139,400,Hilly,133106400.0,165333931.29,19,23,High,12,1.33,84
P01284,174,132,Plain,45588000.0,55588739.13,16,19,Medium,7,1.31,77
P01285,304,132,Forest,105913600.0,130158194.16,21,25,Low,5,1.34,70
P01286,97,400,Forest,77173200.0,103450788.55,13,17,Low,4,1.02,71
P01287,291,220,Plain,131386500.0,174584719.93,23,30,High,18,1.29,87
P01288,345,220,Forest,178951500.0,298299432.02,9,15,Medium,4,1.14,86
P01289,205,220,Hilly,118818000.0,145943041.94,16,19,Medium,12,1.38,82
P01290,294,220,Hilly,124714800.0,182302559.73,24,35,Low,4,1.01,71
P01291,291,220,Plain,109998000.0,145392100.04,19,25,High,13,1.08,77
P01292,207,765,Forest,251877600.0,357043157.45,27,38,High,17,1.04,72
P01293,95,400,Hilly,95076000.0,154221360.46,15,24,High,11,1.39,69
P01294,70,220,Desert,29914500.0,48236853.41,21,33,High,5,1.11,70
P01295,51,220,Hilly,29773800.0,37636877.52,17,21,Medium,15,1.39,88
P01296,166,220,Hilly,70417200.0,81391580.28,10,11,Medium,10,1.01,95
P01297,348,400,Hilly,335750400.0,448821060.32,24,32,High,7,1.34,62
P01298,225,132,Desert,59400000.0,63373614.34,14,14,Low,8,1.2,88
P01299,158,132,Hilly,51950400.0,74362843.73,30,42,High,13,1.37,92
P01300,139,132,Desert,32414800.0,40193260.52,15,18,Medium,13,1.06,90
P01301,262,220,Plain,95368000.0,102125864.46,18,19,Medium,8,1.04,81
P01302,130,765,Plain,119340000.0,120122105.63,15,15,Low,9,1.02,68
P01303,347,765,Plain,452835000.0,402553624.12,10,8,Low,9,1.45,76
P01304,349,220,Plain,173453000.0,198677856.47,26,29,Low,8,1.42,88
P01305,267,400,Desert,234372600.0,309016953.25,25,32,High,13,1.33,64
P01306,76,765,Plain,70452000.0,107527852.29,8,12,Medium,5,1.03,61
P01307,114,220,Forest,57575700.0,71816970.6,17,21,Medium,7,1.11,64
P01308,65,400,Desert,53625000.0,76970675.14,15,21,High,12,1.25,67
P01309,285,132,Desert,86526000.0,114517991.82,16,21,High,5,1.38,68
P01310,250,220,Hilly,152250000.0,179441453.84,8,9,Low,14,1.45,85
P01311,211,765,Forest,362898900.0,498388595.43,14,19,High,5,1.47,92
P01312,84,132,Desert,27535200.0,33215732.36,28,33,High,6,1.49,75
P01313,210,220,Forest,104149500.0,127767590.48,15,18,High,10,1.09,71
P01314,147,400,Desert,142619400.0,185507785.3,15,19,Medium,16,1.47,61
P01315,260,220,Plain,135590000.0,123491707.17,19,17,Low,10,1.49,70
P01316,144,765,Hilly,223948800.0,347941432.34,10,15,Low,4,1.44,94
P01317,145,400,Forest,135720000.0,221261770.64,29,47,Medium,6,1.2,87
P01318,245,765,Hilly,349272000.0,543871024.62,25,38,High,4,1.32,79
P01319,142,765,Hilly,222372000.0,267895752.36,10,12,Medium,8,1.45,87
P01320,153,132,Desert,34333200.0,49112854.95,18,25,Medium,5,1.02,58
P01321,280,400,Desert,195888000.0,224608927.89,30,34,Medium,14,1.06,74
P01322,42,220,Hilly,24872400.0,35153042.28,18,25,Medium,16,1.41,56
P01323,338,220,Desert,171771600.0,204476030.93,15,17,High,13,1.32,69
P01324,76,765,Desert,108345600.0,120275049.84,24,26,High,10,1.44,92
P01325,159,400,Desert,141669000.0,169065678.36,13,15,Low,14,1.35,87
P01326,316,765,Forest,476938800.0,784477471.38,18,29,Low,5,1.29,59
P01327,231,220,Forest,150300150.0,195188180.66,10,12,Medium,10,1.43,80
P01328,102,132,Forest,36597600.0,43400189.27,18,21,Medium,15,1.38,91
P01329,325,132,Forest,91260000.0,133655376.51,25,36,Medium,10,1.08,84
P01330,347,400,Plain,291480000.0,417803322.37,18,25,Low,3,1.4,55
P01331,162,220,Hilly,95256000.0,121905205.52,9,11,Medium,5,1.4,92
P01332,88,132,Plain,21472000.0,24821585.65,17,19,Medium,7,1.22,62
P01333,336,132,Forest,123177600.0,166162404.72,16,21,High,14,1.41,92
P01334,60,220,Desert,23793000.0,22452850.79,10,9,Medium,15,1.03,72
P01335,242,765,Desert,347391000.0,410054776.62,30,35,High,13,1.45,69
P01336,334,220,Hilly,179558400.0,310734468.72,14,24,High,17,1.28,55
P01337,316,220,Desert,128959600.0,159915254.69,23,28,Medium,4,1.06,68
P01338,189,220,Hilly,103194000.0,140510580.41,26,35,Low,11,1.3,91
P01339,183,400,Hilly,139665600.0,182581988.59,15,19,Medium,15,1.06,59
P01340,197,765,Hilly,227653200.0,293502197.36,17,21,Low,5,1.07,83
P01341,299,132,Desert,73015800.0,105374312.52,24,34,High,10,1.11,56
P01342,282,132,Desert,91198800.0,81261437.55,21,18,Low,11,1.47,95
P01343,177,220,Desert,86544150.0,106202559.83,17,20,High,5,1.27,92
P01344,57,220,Plain,27730500.0,29923881.39,12,12,Low,9,1.39,78
P01345,244,220,Forest,160979000.0,182836392.74,15,17,Medium,12,1.45,93
P01346,222,220,Forest,124242300.0,159959441.18,29,37,Low,4,1.23,90
P01347,136,400,Plain,102000000.0,123221616.25,26,31,Low,3,1.25,56
P01348,283,400,Hilly,246549600.0,427723546.74,28,48,High,4,1.21,70
P01349,350,132,Desert,114730000.0,137152726.84,10,11,Low,13,1.49,84
P01350,283,220,Forest,136490900.0,180183661.36,16,21,Medium,9,1.06,65
P01351,296,220,Forest,160269200.0,252169738.37,22,34,High,17,1.19,93
P01352,147,400,Desert,107692200.0,151657304.1,25,35,High,5,1.11,62
P01353,329,132,Plain,77644000.0,87250269.6,25,28,High,15,1.18,95
P01354,257,400,Desert,205240200.0,175447796.13,20,17,Low,16,1.21,71
P01355,183,765,Forest,314741700.0,484359150.23,28,43,Medium,7,1.47,68
P01356,252,220,Forest,162817200.0,202884383.73,19,23,Low,18,1.42,57
P01357,172,765,Desert,228175200.0,232087141.84,27,27,Medium,9,1.34,71
P01358,296,220,Forest,180471200.0,258543168.23,8,11,High,7,1.34,78
P01359,57,220,Forest,30603300.0,42626143.72,8,11,Medium,3,1.18,81
P01360,223,765,Forest,323528400.0,435670481.21,17,22,High,13,1.24,88
P01361,123,220,Desert,57299550.0,64743065.56,26,29,High,7,1.21,57
P01362,288,400,Plain,209088000.0,270601213.67,19,24,Medium,9,1.21,79
P01363,31,132,Plain,7874000.0,9616771.4,21,25,Medium,4,1.27,67
P01364,331,220,Desert,158019400.0,175167267.08,12,13,Medium,11,1.24,83
P01365,336,132,Plain,97440000.0,106295964.3,23,25,Low,8,1.45,83
P01366,227,132,Forest,69643600.0,99416925.1,26,37,Medium,9,1.18,70
P01367,284,400,Forest,285760800.0,419847226.61,24,35,Low,16,1.29,66
P01368,241,400,Desert,209959200.0,267386016.61,21,26,High,7,1.32,65
P01369,250,220,Desert,128012500.0,148119362.0,20,23,Low,6,1.33,86
P01370,336,220,Hilly,207446400.0,269609668.38,13,16,Low,7,1.47,77
P01371,99,220,Desert,41926500.0,43003778.91,16,16,High,17,1.1,85
P01372,288,765,Forest,353808000.0,522622126.47,9,13,High,7,1.05,61
P01373,276,220,Forest,179579400.0,195911916.42,10,10,Low,18,1.43,78
P01374,330,220,Hilly,156618000.0,193809516.96,20,24,Medium,10,1.13,76
P01375,165,132,Forest,61776000.0,94514298.07,16,24,High,4,1.44,65
P01376,57,400,Plain,47880000.0,68460333.97,16,22,Medium,14,1.4,57
P01377,209,132,Hilly,65208000.0,90801412.15,20,27,Medium,7,1.3,86
P01378,125,765,Plain,114750000.0,131212758.98,20,22,Low,16,1.02,89
P01379,243,132,Desert,58271400.0,76285215.72,30,39,High,16,1.09,91
P01380,55,132,Hilly,14784000.0,26553867.75,14,25,High,5,1.12,60
P01381,310,132,Hilly,75144000.0,106182533.19,20,28,Medium,5,1.01,70
P01382,112,765,Hilly,152409600.0,198592655.99,10,13,High,11,1.26,72
P01383,327,220,Plain,148785000.0,223750285.39,26,39,Medium,4,1.3,66
P01384,200,400,Hilly,145440000.0,221463832.68,22,33,High,14,1.01,61
P01385,250,220,Forest,114887500.0,140884620.25,15,18,Medium,4,1.01,83
P01386,247,400,Hilly,232970400.0,276556379.72,13,15,High,13,1.31,93
P01387,238,220,Plain,114121000.0,149765693.12,15,19,Medium,5,1.37,84
P01388,150,220,Desert,64680000.0,81249000.67,16,20,Low,5,1.12,91
P01389,272,132,Desert,69414400.0,69099472.94,13,12,Low,8,1.16,73
P01390,201,132,Desert,57928200.0,62002057.46,29,31,Medium,4,1.31,70
P01391,42,765,Forest,70761600.0,95817058.82,29,39,High,12,1.44,85
P01392,178,132,Forest,53222000.0,64344133.67,13,15,Low,5,1.15,78
P01393,302,132,Plain,64024000.0,69943674.1,21,22,Low,3,1.06,64
P01394,169,400,Hilly,126547200.0,143418428.43,15,16,Medium,14,1.04,72
P01395,219,132,Forest,81993600.0,118490961.62,30,43,Medium,3,1.44,56
P01396,330,220,Desert,133402500.0,154147616.74,28,32,High,11,1.05,84
P01397,33,765,Forest,40154400.0,50741186.88,17,21,High,12,1.04,89
P01398,80,400,Forest,77376000.0,109908145.93,14,19,Medium,13,1.24,77
P01399,58,132,Forest,19000800.0,20798581.98,20,21,Low,12,1.26,57
P01400,301,132,Plain,64414000.0,81581067.84,26,32,Medium,15,1.07,69
P01401,253,220,Forest,139289150.0,154002878.5,30,33,Low,16,1.21,94
P01402,46,765,Forest,66198600.0,99562293.84,27,40,High,5,1.23,73
P01403,294,220,Desert,153938400.0,152504766.37,27,26,Low,14,1.36,82
P01404,329,400,Forest,279715800.0,388532055.35,8,11,Medium,10,1.09,82
P01405,65,765,Forest,105709500.0,162126665.55,23,35,Medium,13,1.39,57
P01406,307,132,Desert,70917000.0,81847945.96,12,13,Low,13,1.05,90
P01407,127,220,Desert,59651900.0,66787604.08,12,13,Medium,7,1.22,80
P01408,324,220,Hilly,195955200.0,211963109.18,10,10,Low,17,1.44,70
P01409,301,220,Forest,169824200.0,283161414.58,10,16,Medium,5,1.24,80
P01410,265,765,Hilly,380646000.0,592828439.04,29,45,Low,6,1.33,80
P01411,146,132,Plain,32704000.0,30714880.63,27,25,Medium,13,1.12,84
P01412,150,765,Hilly,241380000.0,358273037.79,19,28,Low,6,1.49,83
P01413,304,132,Hilly,105792000.0,127523185.1,17,20,Medium,14,1.45,80
P01414,312,765,Forest,438048000.0,514933852.38,29,34,Medium,17,1.2,84
P01415,191,400,Forest,205592400.0,276602139.55,16,21,Medium,12,1.38,85
P01416,220,765,Desert,219978000.0,256813326.62,24,28,High,16,1.01,90
P01417,267,400,Forest,224920800.0,287447833.07,22,28,Medium,16,1.08,76
P01418,309,400,Forest,313326000.0,496011137.31,24,37,High,13,1.3,69
P01419,302,132,Plain,65232000.0,69841681.65,26,27,Medium,18,1.08,77
P01420,336,220,Desert,187572000.0,214136912.36,21,23,High,10,1.45,59
P01421,120,765,Forest,155844000.0,242432435.61,27,42,High,10,1.11,88
P01422,111,765,Desert,132966900.0,146332238.63,11,12,Low,14,1.21,60
P01423,306,132,Hilly,90331200.0,104567722.32,16,18,High,9,1.23,81
P01424,56,400,Forest,52416000.0,71037792.22,25,33,Medium,15,1.2,61
P01425,315,220,Hilly,140238000.0,179042838.95,28,35,Low,17,1.06,58
P01426,40,132,Forest,13000000.0,18087285.12,10,13,High,18,1.25,64
P01427,346,220,Forest,182618800.0,246887860.65,26,35,High,5,1.16,85
P01428,139,220,Hilly,77061600.0,110824146.8,10,14,Medium,4,1.32,68
P01429,40,400,Hilly,41760000.0,63710345.48,26,39,High,17,1.45,70
P01430,104,220,Plain,51324000.0,47460412.66,19,17,Low,10,1.41,93
P01431,284,132,Plain,62480000.0,73129436.54,19,22,Low,6,1.1,59
P01432,256,132,Plain,70656000.0,90410121.09,27,34,High,16,1.38,82
P01433,84,765,Hilly,105235200.0,128817105.51,30,36,Low,17,1.16,56
P01434,228,765,Forest,338785200.0,553443211.83,13,21,High,6,1.27,77
P01435,43,400,Plain,37152000.0,34773748.22,14,13,Low,10,1.44,86
P01436,108,220,Hilly,63504000.0,71340621.54,25,28,Low,17,1.4,94
P01437,230,400,Hilly,245088000.0,424891137.24,30,52,High,5,1.48,63
P01438,255,400,Plain,206550000.0,263471223.5,28,35,High,3,1.35,70
P01439,112,400,Forest,129292800.0,160036317.01,10,12,High,16,1.48,91
P01440,341,132,Forest,111711600.0,134851307.69,9,10,Low,12,1.26,67
P01441,306,220,Desert,143728200.0,173216072.25,17,20,Low,4,1.22,69
P01442,106,132,Desert,28683600.0,34935772.06,24,29,High,16,1.23,75
P01443,183,220,Plain,72376500.0,69593822.59,15,14,Low,12,1.13,90
P01444,48,400,Hilly,44582400.0,64070144.6,25,35,Medium,10,1.29,55
P01445,243,765,Forest,386661600.0,590799882.51,21,32,High,7,1.36,85
P01446,295,400,Hilly,312228000.0,462615966.13,26,38,Medium,17,1.47,57
P01447,106,132,Plain,31376000.0,43651679.73,13,18,Medium,11,1.48,67
P01448,331,220,Plain,134386000.0,194178249.9,9,13,High,5,1.16,62
P01449,87,765,Forest,114004800.0,134640501.73,18,21,Medium,13,1.12,69
P01450,85,765,Forest,134257500.0,214602181.63,17,27,Medium,11,1.35,68
P01451,217,132,Forest,77295400.0,113441986.15,22,32,Medium,9,1.37,57
P01452,245,400,Hilly,206388000.0,229589756.6,9,10,Medium,14,1.17,83
P01453,316,220,Desert,133826000.0,144302588.17,28,30,Low,9,1.1,85
P01454,185,220,Forest,88383750.0,142609897.58,11,17,Medium,11,1.05,55
P01455,83,765,Hilly,114739200.0,173774932.23,24,36,Low,6,1.28,66
P01456,147,220,Desert,61688550.0,66551374.36,15,16,Medium,10,1.09,77
P01457,230,132,Plain,57040000.0,77758575.72,8,10,High,17,1.24,74
P01458,207,400,Desert,136620000.0,156093379.83,13,14,Medium,6,1.0,77
P01459,204,220,Forest,129019800.0,137027980.34,21,22,Low,11,1.39,92
P01460,246,765,Desert,277635600.0,271445496.61,20,19,Low,17,1.14,72
P01461,239,132,Forest,68975400.0,102186050.92,21,31,High,13,1.11,73
P01462,261,220,Hilly,139217400.0,224645856.65,16,25,High,9,1.27,61
P01463,333,400,Forest,316882800.0,408947936.95,22,28,Medium,10,1.22,62
P01464,164,220,Forest,84320600.0,129704730.32,17,26,High,12,1.13,63
P01465,226,400,Plain,183060000.0,245280543.97,23,30,High,14,1.35,55
P01466,173,132,Hilly,60204000.0,84558647.03,12,16,High,11,1.45,94
P01467,31,220,Plain,11175500.0,13726627.4,22,27,High,17,1.03,92
P01468,259,765,Desert,271794600.0,348011086.63,8,10,High,16,1.06,68
P01469,274,400,Hilly,220953600.0,332354131.61,8,12,High,18,1.12,65
P01470,229,765,Forest,361705500.0,394252622.64,10,10,Medium,12,1.35,89
P01471,39,132,Plain,9672000.0,9586488.43,10,9,Low,3,1.24,90
P01472,205,765,Plain,254610000.0,325724245.62,23,29,High,15,1.38,79
P01473,173,220,Plain,61761000.0,66923553.98,15,16,Low,9,1.02,57
P01474,252,220,Hilly,111132000.0,138746775.29,12,14,Medium,13,1.05,76
P01475,53,220,Plain,19292000.0,22200208.94,17,19,Low,11,1.04,65
P01476,246,220,Plain,122262000.0,167456723.07,23,31,High,18,1.42,58
P01477,316,132,Hilly,100108800.0,121984166.1,16,19,Low,8,1.32,95
P01478,279,220,Hilly,127726200.0,159844440.8,20,25,High,17,1.09,72
P01479,109,400,Plain,86328000.0,121802195.3,30,42,High,12,1.32,62
P01480,123,400,Desert,95792400.0,108768999.72,17,19,High,17,1.18,76
P01481,286,400,Hilly,306820800.0,512813487.73,9,15,High,12,1.49,59
P01482,70,132,Hilly,18648000.0,32502147.31,28,48,High,4,1.11,61
P01483,95,765,Desert,119443500.0,153683488.19,19,24,Medium,15,1.27,79
P01484,54,765,Hilly,61236000.0,60699263.21,21,20,Low,14,1.05,76
P01485,55,132,Desert,15851000.0,22140057.99,22,30,High,13,1.31,79
P01486,119,400,Desert,108385200.0,130774181.32,8,9,High,18,1.38,94
P01487,237,132,Hilly,69962400.0,104134272.25,18,26,High,16,1.23,80
P01488,281,132,Desert,72329400.0,96585986.33,14,18,High,7,1.17,81
P01489,266,220,Forest,160969900.0,219572988.44,29,39,Low,5,1.33,86
P01490,169,400,Plain,142974000.0,171325461.02,24,28,Medium,6,1.41,80
P01491,309,220,Forest,191209200.0,263590962.47,28,38,Low,10,1.36,86
P01492,104,132,Desert,32718400.0,49210334.51,26,39,High,16,1.43,55
P01493,183,400,Desert,181170000.0,208102492.47,26,29,Medium,12,1.5,87
P01494,166,132,Hilly,42628800.0,49067965.24,17,19,Low,9,1.07,63
P01495,288,220,Forest,134971200.0,163496119.27,26,31,Medium,3,1.03,85
P01496,195,220,Desert,76576500.0,95801989.7,14,17,High,8,1.02,92
P01497,193,220,Forest,129966200.0,209394161.21,11,17,Medium,3,1.48,58
P01498,211,400,Desert,151793400.0,153180122.41,28,28,Medium,15,1.09,95
P01499,76,220,Desert,33649000.0,40761656.65,18,21,Low,5,1.15,75
P01500,88,765,Forest,146203200.0,176825129.54,26,31,Low,6,1.42,73
P01501,222,132,Plain,59940000.0,80981250.14,28,37,Low,3,1.35,80
P01502,97,220,Forest,60906300.0,88080998.62,15,21,Medium,17,1.38,55
P01503,86,220,Hilly,49123200.0,64917117.41,18,23,Medium,11,1.36,91
P01504,111,132,Plain,22866000.0,25993552.84,29,32,Low,12,1.03,70
P01505,325,132,Forest,93795000.0,136578214.03,18,26,Medium,9,1.11,86
P01506,72,765,Hilly,97977600.0,119732318.0,8,9,High,10,1.26,75
P01507,194,132,Hilly,59596800.0,93580460.94,11,17,High,13,1.28,75
P01508,325,765,Desert,434362500.0,472523544.78,25,27,Low,6,1.35,86
P01509,262,400,Plain,229512000.0,313048600.26,12,16,High,4,1.46,67
P01510,348,400,Forest,366444000.0,433262547.64,28,33,Low,13,1.35,88
P01511,283,400,Forest,264888000.0,339132197.53,29,37,Low,9,1.2,60
P01512,69,765,Forest,80730000.0,122168542.9,16,24,High,6,1.0,64
P01513,349,400,Forest,397441200.0,443881141.14,12,13,Low,6,1.46,87
P01514,115,400,Forest,121992000.0,201844106.82,29,47,High,10,1.36,64
P01515,289,220,Forest,173573400.0,172211718.06,23,22,Low,15,1.32,77
P01516,65,220,Hilly,40950000.0,53927239.89,20,26,Medium,3,1.5,61
P01517,247,765,Desert,249420600.0,272099542.74,17,18,Low,4,1.02,89
P01518,274,220,Plain,112203000.0,159735928.08,22,31,Medium,18,1.17,59
P01519,219,400,Hilly,159256800.0,188526669.69,18,21,Medium,13,1.01,87
P01520,176,132,Plain,41184000.0,54692354.26,15,19,Medium,9,1.17,63
P01521,75,400,Plain,49950000.0,57018165.19,29,33,Medium,18,1.11,65
P01522,166,220,Plain,67977000.0,97644158.99,16,22,High,16,1.17,62
P01523,99,132,Plain,28908000.0,33018035.18,28,31,Medium,13,1.46,95
P01524,113,220,Hilly,48409200.0,60075103.74,21,26,Medium,7,1.02,64
